Holdings details

Growth ETF (VUG)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2588173,Microsoft Corp,MSFT,12.84%,Software,US,---,"$28,574,516,756.88","69,080,642"
,2046251,Apple Inc,AAPL,11.15%,"Technology Hardware, Storage & Peripherals",US,---,"$24,822,382,497.75","137,329,917"
,2379504,NVIDIA Corp,NVDA,7.75%,Semiconductors & Semiconductor Equipment,US,---,"$17,254,308,213.12","21,809,976"
,2000019,Amazon.com Inc,AMZN,6.87%,Broadline Retail,US,---,"$15,280,269,906.24","86,446,424"
,B7TL820,Meta Platforms Inc,META,4.54%,Interactive Media & Services,US,---,"$10,111,659,313.58","20,630,566"
,BYVY8G0,Alphabet Inc,GOOGL,3.42%,Interactive Media & Services,US,---,"$7,615,830,301.80","55,003,830"
,BYY88Y7,Alphabet Inc,GOOG,2.84%,Interactive Media & Services,US,---,"$6,322,613,946.24","45,232,608"
,2516152,Eli Lilly & Co,LLY,2.69%,Pharmaceuticals,US,---,"$5,985,101,005.60","7,941,170"
,B616C79,Tesla Inc,TSLA,2.28%,Automobiles,US,---,"$5,070,270,505.72","25,115,269"
,B2PZN04,Visa Inc,V,1.81%,Financial Services,US,---,"$4,026,697,180.40","14,246,735"
,B121557,Mastercard Inc,MA,1.66%,Financial Services,US,---,"$3,695,135,890.16","7,783,166"
,2701271,Costco Wholesale Corp,COST,1.38%,Consumer Staples Distribution & Retail,US,---,"$3,061,241,994.09","4,115,181"
,2007849,Advanced Micro Devices Inc,AMD,1.30%,Semiconductors & Semiconductor Equipment,US,---,"$2,890,951,735.23","15,015,591"
,2310525,Salesforce Inc,CRM,1.19%,Software,US,---,"$2,653,267,794.24","8,591,632"
,2857817,Netflix Inc,NFLX,1.07%,Entertainment,US,---,"$2,392,472,777.56","3,968,143"
,2008154,Adobe Inc,ADBE,1.07%,Software,US,---,"$2,371,048,932.00","4,231,900"
,B4BNMY3,Accenture PLC,ACN,0.98%,IT Services,US,---,"$2,186,263,389.24","5,833,458"
,BNZHB81,Linde PLC,LIN,0.91%,Chemicals,US,---,"$2,022,731,653.14","4,506,777"
,2550707,McDonald's Corp,MCD,0.89%,"Hotels, Restaurants & Leisure",US,---,"$1,970,498,565.04","6,741,818"
,2434209,Home Depot Inc/The,HD,0.79%,Specialty Retail,US,---,"$1,760,392,804.68","4,625,188"
,2459020,Intuit Inc,INTU,0.74%,Software,US,---,"$1,640,479,735.71","2,474,739"
,2046552,Applied Materials Inc,AMAT,0.70%,Semiconductors & Semiconductor Equipment,US,---,"$1,567,640,662.88","7,775,224"
,B80NXX8,ServiceNow Inc,NOW,0.66%,Software,US,---,"$1,469,755,202.38","1,905,457"
,BK6N347,Uber Technologies Inc,UBER,0.65%,Ground Transportation,US,---,"$1,444,582,098.00","18,170,844"
,2885409,Texas Instruments Inc,TXN,0.63%,Semiconductors & Semiconductor Equipment,US,---,"$1,412,486,242.93","8,441,321"
,2871301,Intuitive Surgical Inc,ISRG,0.57%,Health Care Equipment & Supplies,US,---,"$1,261,878,699.20","3,272,507"
,BYV2325,S&P Global Inc,SPGI,0.57%,Capital Markets,US,---,"$1,261,430,880.52","2,944,654"
,2640147,NIKE Inc,NKE,0.53%,"Textiles, Apparel & Luxury Goods",US,---,"$1,182,391,447.58","11,376,806"
,2502247,Lam Research Corp,LRCX,0.52%,Semiconductors & Semiconductor Equipment,US,---,"$1,149,289,634.25","1,224,929"
,2108601,Boeing Co/The,BA,0.51%,Aerospace & Defense,US,---,"$1,145,537,932.00","5,623,100"
,BDRXDB4,Booking Holdings Inc,BKNG,0.51%,"Hotels, Restaurants & Leisure",US,---,"$1,124,896,474.21","324,287"
,2853688,Stryker Corp,SYK,0.50%,Health Care Equipment & Supplies,US,---,"$1,109,348,648.84","3,178,012"
