Holdings details,,,,,,,,,
,,,,,,,,,
Small-Cap Growth ETF (VBK),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Equity,as of 02/29/2024,,,,,,,,
,,,,,,,,,
,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B1VQR35,Super Micro Computer Inc,SMCI,1.59%,"Technology Hardware, Storage & Peripherals",US,---,"$556,633,671.00 ","642,675"
,BL3LWS8,Vertiv Holdings Co,VRT,0.96%,Electrical Equipment,US,---,"$335,670,345.78 ","4,964,069"
,2267278,Deckers Outdoor Corp,DECK,0.95%,"Textiles, Apparel & Luxury Goods",US,---,"$333,233,813.97 ","372,083"
,B55PZY3,Targa Resources Corp,TRGP,0.91%,"Oil, Gas & Consumable Fuels",US,---,"$316,803,959.04 ","3,224,796"
,BDT5S35,Axon Enterprise Inc,AXON,0.91%,Aerospace & Defense,US,---,"$316,430,960.23 ","1,029,479"
,B95N910,PTC Inc,PTC,0.86%,Software,US,---,"$299,860,603.93 ","1,638,493"
,2599700,Entegris Inc,ENTG,0.83%,Semiconductors & Semiconductor Equipment,US,---,"$291,755,350.20 ","2,171,445"
,BLDDH12,DraftKings Inc,DKNG,0.75%,"Hotels, Restaurants & Leisure",US,---,"$262,854,366.84 ","6,067,737"
,BYZ62T3,Pure Storage Inc. Class A,PSTG,0.65%,"Technology Hardware, Storage & Peripherals",US,---,"$225,626,941.80 ","4,285,412"
,2239471,Manhattan Associates Inc,MANH,0.65%,Software,US,---,"$225,551,605.51 ","890,347"
,2380443,Graco Inc,GGG,0.64%,Machinery,US,---,"$222,613,803.36 ","2,439,336"
,2982399,Saia Inc,SAIA,0.63%,Ground Transportation,US,---,"$220,895,484.60 ","383,899"
,BPLYVN5,Liberty Media Corp-Liberty Formula One,FWONK,0.63%,Entertainment,US,---,"$218,971,001.72 ","3,009,497"
,BYQBFT8,Nutanix Inc,NTNX,0.63%,Software,US,---,"$218,845,484.08 ","3,464,938"
,2442053,Lennox International Inc,LII,0.62%,Building Products,US,---,"$217,950,646.14 ","462,534"
,2516851,Lincoln Electric Holdings Inc,LECO,0.61%,Machinery,US,---,"$212,232,320.40 ","827,094"
,BMWGSD8,RB Global Inc,RBA,0.57%,Commercial Services & Supplies,US,---,"$200,166,699.45 ","2,636,895"
,2641838,Nordson Corp,NDSN,0.56%,Machinery,US,---,"$197,168,352.15 ","742,211"
,BJV2RD9,Dynatrace Inc,DT,0.54%,Software,US,---,"$189,875,550.45 ","3,831,999"
,2604336,Charles River Laboratories International Inc,CRL,0.54%,Life Sciences Tools & Services,US,---,"$188,575,681.11 ","741,869"
,2623911,Neurocrine Biosciences Inc,NBIX,0.53%,Biotechnology,US,---,"$185,269,842.40 ","1,420,781"
,BZ0P3W2,TopBuild Corp,BLD,0.53%,Household Durables,US,---,"$184,849,750.58 ","459,391"
,BYQHP96,Floor & Decor Holdings Inc,FND,0.51%,Specialty Retail,US,---,"$177,325,978.24 ","1,464,052"
,2943039,Watsco Inc,WSO,0.51%,Trading Companies & Distributors,US,---,"$177,233,793.40 ","449,695"
,BP7RS59,Advanced Drainage Systems Inc,WMS,0.50%,Building Products,US,---,"$174,695,856.72 ","1,070,178"
,BSHZ3Q0,Bio-Techne Corp,TECH,0.48%,Life Sciences Tools & Services,US,---,"$168,273,276.78 ","2,287,254"
,BCF5RR9,American Homes 4 Rent,AMH,0.47%,Residential REITs,US,---,"$164,502,936.24 ","4,444,824"
,B8DPDT7,Sarepta Therapeutics Inc,SRPT,0.47%,Biotechnology,US,---,"$164,358,790.30 ","1,285,057"
,BD1MGQ3,Kinsale Capital Group Inc,KNSL,0.47%,Insurance,US,---,"$164,342,420.76 ","318,382"
,2179414,Casey's General Stores Inc,CASY,0.47%,Consumer Staples Distribution & Retail,US,---,"$164,173,091.26 ","539,174"
,B19HX21,Celsius Holdings Inc,CELH,0.47%,Beverages,US,---,"$164,078,074.16 ","2,010,268"
,2563125,Equity LifeStyle Properties Inc,ELS,0.47%,Residential REITs,US,---,"$163,394,997.48 ","2,427,139"
,BDDQ975,elf Beauty Inc,ELF,0.45%,Personal Care Products,US,---,"$158,130,801.36 ","758,312"
,B85KFY9,Five Below Inc,FIVE,0.44%,Specialty Retail,US,---,"$153,526,019.72 ","765,029"
,2506658,Lattice Semiconductor Corp,LSCC,0.44%,Semiconductors & Semiconductor Equipment,US,---,"$152,935,547.07 ","1,996,287"
,2719951,Exact Sciences Corp,EXAS,0.43%,Biotechnology,US,---,"$150,444,516.86 ","2,615,062"
,BFX1V56,Dayforce Inc,DAY,0.43%,Professional Services,US,---,"$149,671,893.76 ","2,145,526"
,BC9ZHL9,Rexford Industrial Realty Inc,REXR,0.43%,Industrial REITs,US,---,"$149,415,327.36 ","2,936,622"
,2311711,Erie Indemnity Co,ERIE,0.43%,Insurance,US,---,"$149,404,301.60 ","367,195"
,BYYXHN4,Wingstop Inc,WING,0.43%,"Hotels, Restaurants & Leisure",US,---,"$149,364,402.95 ","425,479"
,2731654,Repligen Corp,RGEN,0.43%,Life Sciences Tools & Services,US,---,"$148,798,283.59 ","767,041"
,BFXCLC6,Elastic NV,ESTC,0.42%,Software,US,---,"$147,348,360.56 ","1,101,176"
,2816023,A O Smith Corp,AOS,0.42%,Building Products,US,---,"$147,172,867.40 ","1,775,306"
,2963811,Wynn Resorts Ltd,WYNN,0.42%,"Hotels, Restaurants & Leisure",US,---,"$146,073,671.60 ","1,388,533"
,B033TJ7,Texas Roadhouse Inc,TXRH,0.41%,"Hotels, Restaurants & Leisure",US,---,"$144,343,251.39 ","966,347"
,2483074,Trex Co Inc,TREX,0.41%,Building Products,US,---,"$144,076,321.68 ","1,570,143"
,BYQRG48,Natera Inc,NTRA,0.41%,Biotechnology,US,---,"$142,764,632.01 ","1,650,649"
,B6SW913,CubeSmart,CUBE,0.41%,Specialized REITs,US,---,"$141,878,419.06 ","3,253,346"
,B7JYSG3,Guidewire Software Inc,GWRE,0.40%,Software,US,---,"$141,414,319.80 ","1,184,970"
,BDCBC61,Medpace Holdings Inc,MEDP,0.40%,Life Sciences Tools & Services,US,---,"$141,157,761.92 ","355,096"
,BZ8VJQ8,Vistra Corp,VST,0.40%,Independent Power and Renewable Electricity Producers,US,---,"$140,917,070.52 ","2,583,738"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.40%,Capital Markets,US,---,"$139,241,046.98 ","8,537,158"
,BHLNZ89,Shockwave Medical Inc,SWAV,0.40%,Health Care Equipment & Supplies,US,---,"$139,213,797.24 ","533,652"
,2897040,Toro Co/The,TTC,0.40%,Machinery,US,---,"$138,636,696.60 ","1,501,860"
,BMV3LG4,AppLovin Corp,APP,0.39%,Software,US,---,"$137,144,830.08 ","2,296,464"
,2190084,Chemed Corp,CHE,0.39%,Health Care Providers & Services,US,---,"$136,290,969.36 ","217,672"
,2974329,MicroStrategy Inc,MSTR,0.39%,Software,US,---,"$135,900,659.44 ","132,866"
,B8383P2,WEX Inc,WEX,0.39%,Financial Services,US,---,"$135,827,857.34 ","618,158"
