SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
B0BV2M7,Builders FirstSource Inc,BLDR,0.79%,Building Products,US,---,"$423,278,863.62 ","2,168,659"
B5367T7,Booz Allen Hamilton Holding Corp,BAH,0.64%,Professional Services,US,---,"$338,588,247.50 ","2,292,250"
2729068,Reliance Inc,RS,0.61%,Metals & Mining,US,---,"$324,596,343.42 ","1,010,511"
2456612,IDEX Corp,IEX,0.59%,Machinery,US,---,"$313,654,999.00 ","1,329,610"
2471789,Jabil Inc,JBL,0.58%,"Electronic Equipment, Instruments & Components",US,---,"$307,937,188.53 ","2,137,117"
2176318,Carlisle Cos Inc,CSL,0.56%,Building Products,US,---,"$299,555,200.00 ","855,872"
2355582,First Citizens BancShares Inc/NC,FCNCA,0.53%,Banks,US,---,"$280,479,696.77 ","178,217"
2315359,Atmos Energy Corp,ATO,0.51%,Gas Utilities,US,---,"$273,612,544.80 ","2,423,280"
BQ6BPG9,Bunge Global SA,BG,0.50%,Food Products,US,---,"$267,845,935.61 ","2,838,253"
2756174,RPM International Inc,RPM,0.49%,Chemicals,US,---,"$261,278,131.50 ","2,265,090"
2474164,EMCOR Group Inc,EME,0.49%,Construction & Engineering,US,---,"$259,336,533.04 ","827,177"
BJ01KB6,Ovintiv Inc,OVV,0.44%,"Oil, Gas & Consumable Fuels",US,---,"$236,039,228.55 ","4,777,155"
B1FW7Q2,Owens Corning,OC,0.44%,Building Products,US,---,"$234,005,637.62 ","1,562,329"
2491594,Kimco Realty Corp,KIM,0.44%,Retail REITs,US,---,"$233,415,533.52 ","11,812,527"
B6Z1355,XPO Inc,XPO,0.44%,Ground Transportation,US,---,"$233,072,473.60 ","1,937,105"
BLS09M3,Pentair PLC,PNR,0.42%,Machinery,US,---,"$226,102,547.04 ","2,906,576"
2212922,NRG Energy Inc,NRG,0.41%,Electric Utilities,US,---,"$219,582,339.84 ","3,969,312"
2896092,Toll Brothers Inc,TOL,0.41%,Household Durables,US,---,"$216,612,050.72 ","1,889,498"
2967589,Williams-Sonoma Inc,WSM,0.40%,Specialty Retail,US,---,"$212,591,733.30 ","902,610"
B1VZ431,AECOM,ACM,0.40%,Construction & Engineering,US,---,"$212,437,033.83 ","2,391,501"
BYVYD43,Performance Food Group Co,PFGC,0.39%,Consumer Staples Distribution & Retail,US,---,"$210,012,856.47 ","2,735,611"
2431846,Juniper Networks Inc,JNPR,0.39%,Communications Equipment,US,---,"$207,614,360.59 ","5,606,653"
2728429,RenaissanceRe Holdings Ltd,RNR,0.39%,Insurance,US,---,"$207,484,129.80 ","922,890"
2731193,Reinsurance Group of America Inc,RGA,0.38%,Insurance,US,---,"$204,870,467.70 ","1,158,442"
BYR0914,Westrock Co,WRK,0.38%,Containers & Packaging,US,---,"$204,243,950.68 ","4,509,692"
BKRMR96,Equitable Holdings Inc,EQH,0.38%,Financial Services,US,---,"$203,798,123.52 ","5,952,048"
B40SSC9,Huntington Ingalls Industries Inc,HII,0.38%,Aerospace & Defense,US,---,"$203,680,822.52 ","698,446"
BKRTG56,Carlyle Group Inc/The,CG,0.38%,Capital Markets,US,---,"$203,604,215.15 ","4,440,659"
BFPK4S5,Gaming and Leisure Properties Inc,GLPI,0.38%,Specialized REITs,US,---,"$202,861,311.48 ","4,460,451"
2730082,Regal Rexnord Corp,RRX,0.38%,Electrical Equipment,US,---,"$200,061,262.94 ","1,166,606"
BYVFC94,US Foods Holding Corp,USFD,0.37%,Consumer Staples Distribution & Retail,US,---,"$197,589,708.33 ","3,890,327"
BFRT3W7,Allegion plc,ALLE,0.37%,Building Products,US,---,"$197,330,774.18 ","1,543,214"
2427599,F5 Inc,FFIV,0.37%,Communications Equipment,US,---,"$196,549,734.26 ","1,049,833"
BDVJJQ5,nVent Electric PLC,NVT,0.37%,Electrical Equipment,US,---,"$196,372,305.36 ","2,916,998"
BF09HX3,Tapestry Inc,TPR,0.36%,"Textiles, Apparel & Luxury Goods",US,---,"$191,536,916.83 ","4,029,811"
2430412,United Therapeutics Corp,UTHR,0.35%,Biotechnology,US,---,"$186,410,229.60 ","826,140"
BYVZ186,Cleveland-Cliffs Inc,CLF,0.35%,Metals & Mining,US,---,"$184,654,808.00 ","8,877,635"
BNNTGJ5,Bath & Body Works Inc,BBWI,0.34%,Specialty Retail,US,---,"$182,706,223.60 ","3,997,948"
BZBY209,ITT Inc,ITT,0.34%,Machinery,US,---,"$182,097,722.24 ","1,443,616"
BMZ5LZ5,Chesapeake Energy Corp,CHK,0.34%,"Oil, Gas & Consumable Fuels",US,---,"$181,234,227.44 ","2,189,348"
2849472,Steel Dynamics Inc,STLD,0.34%,Metals & Mining,US,---,"$180,885,163.10 ","1,351,705"
2797560,Service Corp International/US,SCI,0.34%,Diversified Consumer Services,US,---,"$180,657,365.46 ","2,468,334"
2487407,East West Bancorp Inc,EWBC,0.34%,Banks,US,---,"$180,580,887.04 ","2,478,464"
B3MC7D6,Fortune Brands Innovations Inc,FBIN,0.34%,Building Products,US,---,"$180,312,803.86 ","2,216,779"
BCV7KT2,American Airlines Group Inc,AAL,0.34%,Passenger Airlines,US,---,"$180,212,670.40 ","11,493,155"
BDFG6S3,Hubbell Inc,HUBB,0.34%,Electrical Equipment,US,---,"$179,426,139.81 ","471,343"
BJMLSD2,Karuna Therapeutics Inc,KRTX,0.33%,Biotechnology,US,---,"$177,014,402.18 ","563,794"
B72XK05,Ally Financial Inc,ALLY,0.33%,Consumer Finance,US,---,"$176,570,322.39 ","4,773,461"
BFZNZF8,BJ's Wholesale Club Holdings Inc,BJ,0.32%,Consumer Staples Distribution & Retail,US,---,"$171,279,092.16 ","2,345,004"
2923785,Universal Health Services Inc,UHS,0.32%,Health Care Providers & Services,US,---,"$170,204,570.38 ","1,018,823"
2692687,Brown & Brown Inc,BRO,0.32%,Insurance,US,---,"$168,541,093.98 ","2,001,438"
BPMQ7X2,Annaly Capital Management Inc,NLY,0.32%,Mortgage Real Estate Investment Trusts (REITs),US,---,"$167,870,473.06 ","8,793,634"
2331430,Assurant Inc,AIZ,0.31%,Insurance,US,---,"$167,732,017.10 ","924,398"
2824770,United States Steel Corp,X,0.31%,Metals & Mining,US,---,"$167,083,500.24 ","3,529,436"
B8DMK08,Tenet Healthcare Corp,THC,0.31%,Health Care Providers & Services,US,---,"$166,042,572.00 ","1,785,404"
2883890,Tetra Tech Inc,TTEK,0.31%,Commercial Services & Supplies,US,---,"$166,000,245.84 ","936,162"
2045247,AptarGroup Inc,ATR,0.30%,Containers & Packaging,US,---,"$162,454,771.86 ","1,156,591"
2019479,Boston Properties Inc,BXP,0.30%,Office REITs,US,---,"$160,768,945.68 ","2,484,069"
BNNF1C1,Apa Corp,APA,0.30%,"Oil, Gas & Consumable Fuels",US,---,"$160,656,367.77 ","5,392,963"
2134532,American Financial Group Inc/OH,AFG,0.30%,Insurance,US,---,"$159,811,560.85 ","1,251,755"
2040640,Jones Lang LaSalle Inc,JLL,0.30%,Real Estate Management & Development,US,---,"$159,160,110.72 ","836,628"
BDV82B8,Leidos Holdings Inc,LDOS,0.29%,Professional Services,US,---,"$154,541,185.50 ","1,208,675"
BF0LKD0,Knight-Swift Transportation Holdings Inc,KNX,0.29%,Ground Transportation,US,---,"$151,868,413.80 ","2,695,570"
2276467,Donaldson Co Inc,DCI,0.28%,Machinery,US,---,"$151,838,768.82 ","2,120,061"
B50K3X8,Primerica Inc,PRI,0.28%,Insurance,US,---,"$151,028,410.14 ","615,789"
BLCF3J9,Essential Utilities Inc,WTRG,0.28%,Water Utilities,US,---,"$150,402,805.90 ","4,324,405"
BMZQ9C1,HF Sinclair Corp,DINO,0.28%,"Oil, Gas & Consumable Fuels",US,---,"$149,918,542.50 ","2,701,235"
2159267,CACI International Inc,CACI,0.28%,Professional Services,US,---,"$146,805,129.45 ","391,637"
B3V9F12,PVH Corp,PVH,0.27%,"Textiles, Apparel & Luxury Goods",US,---,"$145,206,954.88 ","1,062,464"
B9CGTC3,Norwegian Cruise Line Holdings Ltd,NCLH,0.27%,"Hotels, Restaurants & Leisure",US,---,"$145,045,266.24 ","7,480,416"
BN7P9B2,Federal Realty Investment Trust,FRT,0.27%,Retail REITs,US,---,"$144,748,996.50 ","1,435,290"
2515030,Lithia Motors Inc,LAD,0.27%,Specialty Retail,US,---,"$144,717,227.42 ","483,907"
2404871,MKS Instruments Inc,MKSI,0.27%,Semiconductors & Semiconductor Equipment,US,---,"$144,381,473.28 ","1,176,128"
2945143,Webster Financial Corp,WBS,0.27%,Banks,US,---,"$144,175,552.20 ","3,026,355"
2433842,Unum Group,UNM,0.27%,Insurance,US,---,"$144,097,893.40 ","2,914,012"
2455761,EastGroup Properties Inc,EGP,0.27%,Industrial REITs,US,---,"$143,117,776.76 ","814,604"
B1HHB18,KBR Inc,KBR,0.27%,Professional Services,US,---,"$142,480,424.61 ","2,373,487"
2110703,Robert Half Inc,RHI,0.27%,Professional Services,US,---,"$142,219,399.20 ","1,768,898"
B570P91,Lear Corp,LEA,0.26%,Automobile Components,US,---,"$140,729,222.05 ","1,024,603"
BCZWJ63,Murphy USA Inc,MUSA,0.26%,Specialty Retail,US,---,"$140,389,335.57 ","336,657"
2793610,SEI Investments Co,SEIC,0.26%,Capital Markets,US,---,"$140,038,642.75 ","2,082,359"
B2Q8249,Graphic Packaging Holding Co,GPK,0.26%,Containers & Packaging,US,---,"$139,661,654.40 ","5,381,952"
BH3XG17,Aramark,ARMK,0.26%,"Hotels, Restaurants & Leisure",US,---,"$139,462,738.74 ","4,598,178"
2341484,First Horizon Corp,FHN,0.26%,Banks,US,---,"$138,558,063.30 ","9,826,813"
BF5L3T2,Elanco Animal Health Inc,ELAN,0.26%,Pharmaceuticals,US,---,"$137,679,556.49 ","8,664,541"
2818461,Acuity Brands Inc,AYI,0.26%,Electrical Equipment,US,---,"$136,700,186.48 ","544,102"
2048804,Pinnacle West Capital Corp,PNW,0.26%,Electric Utilities,US,---,"$136,156,954.54 ","1,992,638"
2828619,Southwestern Energy Co,SWN,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$134,981,626.39 ","19,366,087"
B7K24P7,Ingredion Inc,INGR,0.25%,Food Products,US,---,"$134,812,449.36 ","1,146,072"
2416973,WESCO International Inc,WCC,0.25%,Trading Companies & Distributors,US,---,"$134,266,536.36 ","898,164"
2043274,Omega Healthcare Investors Inc,OHI,0.25%,Health Care REITs,US,---,"$134,053,943.52 ","4,307,646"
BQPCHB2,Permian Resources Corp,PR,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$132,983,851.20 ","8,546,520"
BYX2YJ7,Encompass Health Corp,EHC,0.25%,Health Care Providers & Services,US,---,"$131,102,620.80 ","1,762,132"
BMBPH06,API Group Corp,APG,0.25%,Construction & Engineering,US,---,"$130,677,791.25 ","3,728,325"
2211811,NNN REIT Inc,NNN,0.25%,Retail REITs,US,---,"$130,544,302.85 ","3,208,265"
BDTZZG7,Science Applications International Corp,SAIC,0.24%,Professional Services,US,---,"$130,260,212.16 ","930,696"
2086309,Applied Industrial Technologies Inc,AIT,0.24%,Trading Companies & Distributors,US,---,"$129,399,021.38 ","681,442"
2849234,Stifel Financial Corp,SF,0.24%,Capital Markets,US,---,"$129,269,384.72 ","1,704,052"
2351449,FTI Consulting Inc,FCN,0.24%,Professional Services,US,---,"$129,148,977.60 ","624,270"
2111955,BorgWarner Inc,BWA,0.24%,Automobile Components,US,---,"$128,687,808.92 ","4,133,884"
B65VZ37,Acadia Healthcare Co Inc,ACHC,0.24%,Health Care Providers & Services,US,---,"$128,530,774.85 ","1,540,213"
2659109,Old Republic International Corp,ORI,0.24%,Insurance,US,---,"$128,470,932.96 ","4,436,151"
2663520,Oshkosh Corp,OSK,0.24%,Machinery,US,---,"$127,530,572.50 ","1,150,375"
