Holdings details

Value ETF (VTV)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2073390,Berkshire Hathaway Inc,BRK/B,3.82%,Financial Services,US,---,"$6,211,832,750.40","15,173,016"
,BDZ78H9,Broadcom Inc,AVGO,2.97%,Semiconductors & Semiconductor Equipment,US,---,"$4,821,002,262.34","3,707,066"
,2190385,JPMorgan Chase & Co,JPM,2.76%,Banks,US,---,"$4,493,069,910.00","24,148,500"
,2917766,UnitedHealth Group Inc,UNH,2.35%,Health Care Providers & Services,US,---,"$3,813,295,447.20","7,725,477"
,2326618,Exxon Mobil Corp,XOM,2.15%,"Oil, Gas & Consumable Fuels",US,---,"$3,497,450,330.40","33,462,020"
,2475833,Johnson & Johnson,JNJ,2.00%,Pharmaceuticals,US,---,"$3,245,368,422.14","20,110,103"
,2704407,Procter & Gamble Co/The,PG,1.92%,Household Products,US,---,"$3,129,121,395.72","19,687,438"
,2778844,Merck & Co Inc,MRK,1.66%,Pharmaceuticals,US,---,"$2,691,736,128.35","21,169,769"
,B92SR70,AbbVie Inc,ABBV,1.60%,Biotechnology,US,---,"$2,596,429,236.45","14,748,249"
,2838555,Chevron Corp,CVX,1.40%,"Oil, Gas & Consumable Fuels",US,---,"$2,276,998,072.65","14,979,265"
,2936921,Walmart Inc,WMT,1.34%,Consumer Staples Distribution & Retail,US,---,"$2,173,956,727.88","37,091,908"
,2206657,Coca-Cola Co/The,KO,1.20%,Beverages,US,---,"$1,951,186,038.62","32,508,931"
,2295677,Bank of America Corp,BAC,1.19%,Banks,US,---,"$1,939,146,398.04","56,174,577"
,2681511,PepsiCo Inc,PEP,1.17%,Beverages,US,---,"$1,898,749,514.06","11,483,909"
,2002305,Abbott Laboratories,ABT,1.06%,Health Care Equipment & Supplies,US,---,"$1,719,863,217.68","14,496,487"
,2649100,Wells Fargo & Co,WFC,1.04%,Banks,US,---,"$1,686,248,048.22","30,333,658"
,2434209,Home Depot Inc/The,HD,0.97%,Specialty Retail,US,---,"$1,581,664,819.05","4,155,605"
,2661568,Oracle Corp,ORCL,0.94%,Software,US,---,"$1,533,149,740.80","13,728,060"
,2463247,Intel Corp,INTC,0.93%,Semiconductors & Semiconductor Equipment,US,---,"$1,516,047,207.15","35,215,963"
,2198163,Cisco Systems Inc,CSCO,0.91%,Communications Equipment,US,---,"$1,477,466,583.74","30,545,102"
,2714923,QUALCOMM Inc,QCOM,0.90%,Semiconductors & Semiconductor Equipment,US,---,"$1,466,800,061.00","9,295,900"
,2044545,Comcast Corp,CMCSA,0.88%,Media,US,---,"$1,437,355,515.10","33,543,886"
,BL59CR9,General Electric Co,GE,0.88%,Industrial Conglomerates,US,---,"$1,426,040,986.48","9,089,432"
,2180201,Caterpillar Inc,CAT,0.87%,Machinery,US,---,"$1,419,981,889.92","4,251,952"
,2005973,International Business Machines Corp,IBM,0.87%,IT Services,US,---,"$1,411,308,183.68","7,627,456"
,2250870,Danaher Corp,DHR,0.86%,Life Sciences Tools & Services,US,---,"$1,405,846,910.76","5,553,634"
,2914734,Union Pacific Corp,UNP,0.79%,Ground Transportation,US,---,"$1,291,633,714.34","5,091,386"
,2090571,Verizon Communications Inc,VZ,0.78%,Diversified Telecommunication Services,US,---,"$1,264,677,102.54","31,601,127"
,2684703,Pfizer Inc,PFE,0.77%,Pharmaceuticals,US,---,"$1,252,370,320.32","47,152,497"
,2023607,Amgen Inc,AMGN,0.75%,Biotechnology,US,---,"$1,224,033,243.84","4,470,048"
,B2PKRQ3,Philip Morris International Inc,PM,0.72%,Tobacco,US,---,"$1,166,510,600.32","12,966,992"
