Date,Open,High,Low,Close,Adj Close,Volume
2004-01-26,49.090000,49.299999,49.090000,49.200001,32.231369,1000
2004-02-02,49.450001,49.799999,48.400002,49.799999,32.624424,12900
2004-02-09,49.930000,50.849998,49.849998,50.200001,32.886471,53300
2004-02-16,50.549999,50.799999,49.650002,50.150002,32.853710,12400
2004-02-23,50.000000,50.689999,49.330002,50.599998,33.148514,27700
2004-03-01,50.700001,51.939999,50.700001,51.790001,33.928097,17300
2004-03-08,51.919998,51.930000,49.619999,50.389999,33.010933,26000
2004-03-15,50.500000,50.509998,49.360001,49.990002,32.748898,21400
2004-03-22,49.630001,50.150002,49.110001,50.040001,32.781654,16100
2004-03-29,50.299999,52.430000,50.299999,52.290001,34.255653,27700
2004-04-05,52.220001,52.220001,51.299999,51.419998,33.685688,16900
2004-04-12,51.400002,51.400002,49.340000,50.360001,32.991283,28900
2004-04-19,50.000000,50.900002,49.400002,50.580002,33.135406,21400
2004-04-26,50.750000,50.919998,48.500000,48.500000,31.772785,24500
2004-05-03,48.540001,49.639999,47.400002,47.400002,31.052166,16900
2004-05-10,46.360001,47.549999,46.230000,47.220001,30.934244,15500
2004-05-17,46.560001,47.770000,46.299999,47.430000,31.071817,11900
2004-05-24,47.720001,49.580002,47.709999,49.500000,32.427902,27800
2004-05-31,49.500000,49.700001,49.250000,49.419998,32.375484,14400
2004-06-07,49.599998,50.290001,49.599998,49.770000,32.604771,11300
2004-06-14,49.750000,50.310001,49.139999,50.310001,32.958534,13500
2004-06-21,50.200001,51.380001,50.200001,51.070000,33.456398,18300
2004-06-28,51.549999,52.060001,51.360001,51.599998,33.803612,44100
2004-07-05,51.439999,51.439999,50.520000,50.580002,33.135406,56400
2004-07-12,50.580002,50.980000,50.240002,50.430000,33.037151,55000
2004-07-19,50.450001,51.209999,49.320000,49.439999,32.388580,32600
2004-07-26,49.439999,50.139999,48.709999,50.049999,32.788193,25100
2004-08-02,49.959999,50.270000,48.250000,48.270000,31.622108,29100
2004-08-09,48.500000,49.110001,48.150002,48.250000,31.608994,21500
2004-08-16,48.419998,50.290001,48.419998,50.290001,32.945438,20900
2004-08-23,50.599998,50.790001,50.150002,50.779999,33.266430,19000
2004-08-30,50.750000,51.639999,50.340000,51.570000,33.783970,30700
2004-09-06,51.950001,52.310001,51.849998,52.180000,34.183582,30400
2004-09-13,52.400002,52.540001,51.889999,52.509998,34.399769,49800
2004-09-20,52.349998,52.720001,51.709999,51.919998,34.013260,32000
2004-09-27,51.650002,53.270000,51.279999,53.270000,34.897648,26100
2004-10-04,53.689999,54.000000,52.910000,52.910000,34.661800,33600
2004-10-11,52.930000,53.200001,51.939999,52.430000,34.347363,20900
2004-10-18,52.290001,52.630001,51.480000,51.930000,34.019814,36800
2004-10-25,51.799999,53.560001,51.799999,53.230000,34.871445,38700
2004-11-01,53.320000,55.220001,53.200001,55.070000,36.076855,79600
2004-11-08,55.040001,56.549999,54.840000,56.549999,37.046406,80700
2004-11-15,56.560001,57.000000,55.810001,55.810001,36.561642,74200
2004-11-22,55.950001,57.590000,55.950001,57.500000,37.668762,27000
2004-11-29,57.750000,58.450001,57.060001,58.099998,38.061825,87100
