Date,LULU_Net_Income,BKR_Net_Income,BR_Net_Income,GOOGL_Net_Income,BX_Net_Income,ZBRA_Net_Income,WY_Net_Income,LDOS_Net_Income,USB_Net_Income,MGM_Net_Income,CROX_Net_Income,GTLS_Net_Income,ALGT_Net_Income,AAON_Net_Income,GNRC_Net_Income,CFFN_Net_Income,JWN_Net_Income,MSM_Net_Income,RUSHB_Net_Income,FHI_Net_Income
2009-01-31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
2009-03-31,NA,NA,41,NA,NA,NA,NA,NA,419,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,35
2009-04-30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA
2009-06-30,NA,NA,117,1423,NA,NA,NA,NA,221,NA,NA,NA,NA,7,NA,NA,NA,NA,3,53
2009-07-31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA
2009-09-30,NA,NA,26,1485,NA,NA,NA,NA,583,NA,NA,NA,NA,8,NA,18,NA,NA,3,57
2009-10-31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA
2009-12-31,NA,NA,34,1639,NA,NA,NA,NA,580,NA,NA,NA,NA,6,NA,15,NA,NA,2,52
2010-01-31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
2010-03-31,NA,NA,25,1973,NA,NA,NA,NA,648,NA,NA,NA,NA,5,NA,17,NA,NA,2,42
2010-04-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA
2010-06-30,NA,NA,105,1955,NA,NA,NA,NA,862,NA,NA,NA,NA,6,13,21,NA,NA,6,48
2010-07-31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA
2010-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA
2010-09-30,NA,NA,13,1840,NA,NA,NA,NA,871,NA,NA,19,NA,5,23,15,NA,NA,14,43
2010-10-31,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA
2010-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA
2010-12-31,NA,NA,10,2167,NA,NA,NA,NA,951,NA,NA,18,NA,6,19,17,NA,NA,9,40
2011-01-31,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA
2011-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA
2011-03-31,NA,NA,30,2543,NA,NA,14,NA,1003,NA,NA,8,28,4,5,15,NA,NA,7,33
2011-04-30,33,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA
2011-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA
2011-06-30,NA,NA,116,1798,NA,NA,1116,NA,1167,NA,NA,16,24,4,15,16,NA,NA,13,41
2011-07-31,38,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA
2011-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
2011-09-30,NA,NA,17,2505,NA,NA,171,NA,1237,NA,NA,1,14,6,37,17,NA,NA,16,37
2011-10-31,39,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA
2011-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
2011-12-31,NA,NA,7,2729,NA,9,99,NA,1314,NA,NA,2,11,1,267,17,NA,NA,19,35
2012-01-31,74,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,NA
2012-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA
2012-03-31,NA,NA,17,2705,NA,9,10,NA,1285,NA,NA,7,23,5,30,19,NA,NA,16,41
2012-04-30,47,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA
2012-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA
2012-06-30,NA,NA,83,2890,NA,11,157,NA,1345,NA,NA,10,18,9,9,19,NA,NA,17,39
2012-07-31,57,NA,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,NA
2012-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA
