Date,FHI_price-book,LULU_price-book,BKR_price-book,BR_price-book,GOOGL_price-book,BX_price-book,ZBRA_price-book,WY_price-book,LDOS_price-book,USB_price-book,MGM_price-book,CROX_price-book,GTLS_price-book,ALGT_price-book,AAON_price-book,GNRC_price-book,CFFN_price-book,JWN_price-book,MSM_price-book,RUSHB_price-book
1/31/2009,NA,3.07,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA
2/28/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,NA
3/31/2009,2.45,NA,0.67,2.4,3.69,0.18,1.63,0.74,NA,0.61,0.15,0.38,0.53,2.93,2.63,NA,1.09,NA,NA,0.64
4/30/2009,NA,5.82,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,2.45,NA,NA
5/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,NA
6/30/2009,2.5,NA,0.84,1.86,4.23,0.27,2,0.85,NA,0.91,0.53,1.11,1.16,2.38,2.81,NA,1.11,NA,NA,0.81
7/31/2009,NA,7.03,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,2.71,NA,NA
8/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,NA
9/30/2009,2.58,NA,0.98,2.33,4.67,0.4,2.16,1,NA,1.07,1.17,1.95,1.33,2.2,2.63,NA,0.94,NA,NA,0.88
10/31/2009,NA,9.17,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA
11/30/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA
12/31/2009,2.61,NA,0.93,2.65,5.49,0.36,2.32,0.52,NA,1.08,0.98,1.71,0.99,2.63,2.51,NA,0.93,NA,NA,0.84
1/31/2010,NA,8.54,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.11,NA,NA
2/28/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,NA
3/31/2010,3.35,NA,1.47,2.5,4.73,0.39,2.37,1.33,NA,1.21,1.32,2.58,1.2,3.01,2.82,1.67,1.11,NA,NA,0.94
4/30/2010,NA,9.94,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,3.49,NA,NA
5/31/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,NA
6/30/2010,2.57,NA,0.72,2.29,3.5,0.27,2.01,0.42,NA,0.99,1.41,2.8,0.95,2.29,3.13,1.62,0.98,NA,NA,0.87
7/31/2010,NA,10.03,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA
8/31/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,NA
9/30/2010,2.73,NA,0.72,2.98,3.89,0.35,2.6,1.13,NA,0.93,1.85,3.1,1.19,2.05,3.02,1.49,0.33,NA,NA,1
10/31/2010,NA,9.63,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,2.97,NA,NA
11/30/2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57,NA
12/31/2010,2.94,NA,0.93,2.86,4.14,0.41,2.9,1.36,NA,1.15,2.33,4.01,1.94,2.62,3.58,1.69,0.4,NA,NA,1.34
1/31/2011,NA,9.3,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA
2/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58,NA
3/31/2011,2.9,NA,1.17,3.07,3.88,0.58,2.85,1.75,NA,1.1,2.08,3.88,3.1,2.2,4.06,2.08,0.42,NA,NA,1.27
4/30/2011,NA,15.7,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,3.27,NA,NA
5/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,NA
6/30/2011,2.55,NA,1.13,2.88,3.15,0.51,3.02,1.56,NA,1,0.61,4.91,2.94,2.39,4.05,1.93,0.44,NA,NA,1.15
7/31/2011,NA,17.36,NA,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA
8/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,NA
9/30/2011,1.89,NA,0.7,2.44,3.05,0.41,2.17,1.1,NA,0.9,0.43,4.33,2.06,2.21,2.8,1.73,0.4,NA,NA,0.8
10/31/2011,NA,15.32,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,3.78,NA,NA
11/30/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA
12/31/2011,1.61,NA,0.73,2.79,3.62,0.47,2.4,1.49,NA,1.01,0.49,2.7,2.61,2.41,3.74,1.68,0.44,NA,NA,1.13
1/31/2012,NA,14.95,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA
2/29/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA
3/31/2012,2.31,NA,0.61,2.92,3.4,0.48,2.68,1.8,NA,1.12,0.66,3.56,3.45,2.32,3.57,1.42,0.45,NA,NA,1.11
4/30/2012,NA,12.28,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,NA
5/31/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,NA
6/30/2012,2.21,NA,0.59,2.48,2.94,0.43,2.16,1.85,NA,1.09,0.55,2.5,3.15,2.77,3.2,2.76,0.46,NA,NA,0.84
