Date,LULU_Total_Liabilities,BKR_Total_Liabilities,BR_Total_Liabilities,GOOGL_Total_Liabilities,BX_Total_Liabilities,ZBRA_Total_Liabilities,WY_Total_Liabilities,LDOS_Total_Liabilities,USB_Total_Liabilities,MGM_Total_Liabilities,CROX_Total_Liabilities,GTLS_Total_Liabilities,ALGT_Total_Liabilities,AAON_Total_Liabilities,GNRC_Total_Liabilities,CFFN_Total_Liabilities,JWN_Total_Liabilities,MSM_Total_Liabilities,RUSHB_Total_Liabilities,FHI_Total_Liabilities
2009-01-31,57,NA,NA,NA,NA,NA,NA,2964,NA,NA,NA,NA,NA,NA,NA,NA,4451,NA,NA,NA
2009-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA
2009-03-31,NA,4048,1652,3665,2511,108,11587,NA,235682,19751,182,493,237,43,0,7353,NA,NA,584,392
2009-04-30,40,NA,NA,NA,NA,NA,NA,3056,NA,NA,NA,NA,NA,NA,NA,NA,4486,NA,NA,NA
2009-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA
2009-06-30,NA,3986,1866,3564,2504,109,11565,NA,240674,17365,176,469,221,48,2083,7397,NA,NA,545,361
2009-07-31,49,NA,NA,NA,NA,NA,NA,2948,NA,NA,NA,NA,NA,NA,NA,NA,4983,NA,NA,NA
2009-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA
2009-09-30,NA,3998,2019,3981,3312,107,11000,NA,239178,17431,150,452,206,39,2107,7462,NA,NA,533,344
2009-10-31,54,NA,NA,NA,NA,NA,NA,3129,NA,NA,NA,NA,NA,NA,NA,NA,5086,NA,NA,NA
2009-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA
2009-12-31,NA,4155,1849,4493,3392,118,11196,NA,254515,18648,122,449,208,38,2080,7433,NA,NA,551,384
2010-01-31,74,NA,NA,NA,NA,NA,NA,3004,NA,NA,NA,NA,NA,NA,NA,NA,5007,NA,NA,NA
2010-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA
2010-03-31,NA,4283,2007,4588,7036,106,11118,NA,255040,17229,153,442,236,39,819,7539,NA,NA,577,426
2010-04-30,65,NA,NA,NA,NA,NA,NA,2982,NA,NA,NA,NA,NA,NA,NA,NA,5262,NA,NA,NA
2010-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,NA,NA
2010-06-30,NA,7681,987,7432,9889,121,10597,NA,254303,17138,171,424,219,49,838,7583,NA,NA,664,633
2010-07-31,70,NA,NA,NA,NA,NA,NA,2894,NA,NA,NA,NA,NA,NA,NA,NA,5486,NA,NA,NA
2010-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,NA,NA
2010-09-30,NA,8705,795,10052,10673,141,9437,NA,260711,16596,190,444,202,47,858,7525,NA,NA,692,665
2010-10-31,92,NA,NA,NA,NA,NA,NA,3053,NA,NA,NA,NA,NA,NA,NA,NA,5511,NA,NA,NA
2010-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA
2010-12-31,NA,8700,786,11610,11192,149,8815,NA,277464,16020,173,453,204,44,769,7779,NA,NA,703,661
2011-01-31,105,NA,NA,NA,NA,NA,NA,3732,NA,NA,NA,NA,NA,NA,NA,NA,5441,NA,NA,NA
2011-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA
2011-03-31,NA,8674,1161,11109,11489,140,8876,NA,280127,15841,207,443,382,50,776,7807,NA,NA,738,607
